Target Word,Level,Type,Taboo 1,Taboo 2,Taboo 3,Taboo 4,Taboo 5
Brandenburger Tor,A2,Proper,Berlin,Denkmal,Wahrzeichen,Preußen,Mitte
Backen,A1,Verb,Ofen,Kuchen,Brot,Teig,Küche
Teuer,A2,Adj,Geld,Kosten,Preis,Billig,Viel
The Beatles,A1,Proper,Musik,Band,Liverpool,Rock,Paul
Bibliothek,A1,Noun,Bücher,Lesen,Ausleihen,Stille,Wissen
Schön,A1,Adj,Hübsch,Attraktiv,Wundervoll,Hässlich,Aussehen
Wandern,B1,Verb,Berge,Laufen,Natur,Wald,Rucksack
Supermarkt,A1,Noun,Einkaufen,Essen,Laden,Wagen,Lebensmittel
New York,A1,Proper,USA,Amerika,Manhattan,Apfel,Wolkenkratzer
Leihen,A2,Verb,Geben,Zurück,Bibliothek,Geld,Borgen
Zuverlässig,B1,Adj,Vertrauen,Sicher,Pünktlich,Ehrlich,Immer
Sherlock Holmes,B1,Proper,Detektiv,Watson,London,Krimi,Pfeife
Krankenhaus,A1,Noun,Arzt,Krank,Medizin,Patient,Hilfe
Überraschung,A2,Noun,Party,Geschenk,Unerwartet,Schock,Geburtstag
Nachhaltig,B2,Adj,Umwelt,Grün,Natur,Zukunft,Ökologisch
Hollywood,A2,Proper,Film,Kino,Stars,Kalifornien,Schauspieler
Ehrenamtlich,B1,Verb,Helfen,Geld,Freiwillig,Arbeit,Gratis
Ehrgeizig,B2,Adj,Ziel,Erfolg,Karriere,Fleißig,Wollen
Tower Bridge,A2,Proper,London,Themse,Fluss,Brücke,England
Kaufen,B1,Verb,Einkaufen,Geld,Bezahlen,Laden,Erwerben
Frustrierend,B2,Adj,Schwer,Ärgerlich,Problem,Schwierig,Gefühl
Mount Everest,B1,Proper,Berg,Hoch,Himalaya,Gipfel,Klettern
Flughafen,A1,Noun,Flugzeug,Fliegen,Reise,Urlaub,Terminal
Erklären,A2,Verb,Verstehen,Sagen,Lehrer,Wissen,Deutlich
Gemütlich,B1,Adj,Warm,Haus,Bequem,Sofort,Wohnzimmer
Starbucks,A1,Proper,Kaffee,Becher,Grün,Trinken,Seattle
Sport,A1,Noun,Bewegung,Fitness,Fußball,Körper,Gesund
Entscheiden,A2,Verb,Wahl,Option,Möglichkeit,Wählen,Entschluss
Anonym,B2,Adj,Name,Geheim,Unbekannt,Internet,Maske
Coca-Cola,A1,Proper,Getränk,Limo,Rot,Zucker,Brause
Umwelt,B1,Noun,Natur,Erde,Schutz,Klima,Welt
Verzeihen,B1,Verb,Entschuldigung,Fehler,Vergeben,Streit,Frieden
Eloquent,B2,Adj,Reden,Wörter,Sprache,Gut,Ausdruck
Big Ben,A2,Proper,London,Uhr,Turm,Glocke,Zeit
Urlaub,A1,Noun,Reise,Ferien,Strand,Frei / Freizeit,Sonne
Entdecken,A2,Verb,Finden,Neu,Suchen,Reise,Forscher
Lecker,A1,Adj,Essen,Geschmack,Gut,Kochen,Schmecken
Walt Disney,A2,Proper,Maus,Film,Park,Mickey,Zeichentrick
Herausforderung,B1,Noun,Schwer,Ziel,Aufgabe,Test,Meistern
Ankündigen,B1,Verb,Sagen,Information,Neu,Werbung,Bekannt
Tapfer,B2,Adj,Mutig,Angst,Held,Stark,Gefahr
Weißes Haus,A2,Proper,Präsident,Washington,USA,Gebäude,Macht
Restaurant,A1,Noun,Essen,Kellner,Speisekarte,Tisch,Kochen
Erinnern,A2,Verb,Vergessen,Gedächtnis,Kopf,Vergangenheit,Denken
Essenziell,B2,Adj,Wichtig,Nötig,Grundlage,Bedeutung,Vital
Amazon,A1,Proper,Internet,Paket,Kaufen,Lieferung,Wald
Möbel,A2,Noun,Tisch,Stuhl,Haus,Schrank,Wohnen
Beschweren,B1,Verb,Meckern,Schlecht,Problem,Kunde,Sagen
Vielfältig,B2,Adj,Anders,Bunt,Mix,Verschieden,Viel
Grand Canyon,B1,Proper,USA,Fluss,Stein,Natur,Tief
Freundschaft,A1,Noun,Freund,Liebe,Zusammen,Vertrauen,Mensch
Nervös,B2,Adj,Angst,Stress,Ruhig,Warten,Zittern
Hochzeit,A2,Noun,Heiraten,Ring,Liebe,Kirche,Feier
Entschuldigen,B1,Verb,Fehler,Sagen,Verzeihung,Sorry,Leid
Eifersüchtig,B1,Adj,Liebe,Partner,Neid,Gefühl,Andere
Zuneigung,B2,Noun,Liebe,Gefühl,Mögen,Wärme,Herz
Streiten,A2,Verb,Diskussion,Ärger,Wut,Worte,Kampf
Ehrlich,A2,Adj,Wahrheit,Lügen,Sagen,Aufrichtig,Vertrauen
Verknallt,B2,Adj,Liebe,Herz,Gefühl,Neu,Flirt
Dankbar,B1,Adj,Danke,Helfen,Gefühl,Güte,Froh
Empathie,B2,Noun,Gefühl,Verstehen,Andere,Mitleid,Mensch
Kollege,B1,Noun,Arbeit,Büro,Firma,Zusammen,Job
Einsam,A2,Adj,Allein,Traurig,Freunde,Single,Nur
Verraten,B2,Verb,Geheimnis,Vertrauen,Lügen,Freund,Sagen
Charmant,B1,Adj,Nett,Hübsch,Lächeln,Persönlichkeit,Anziehend
Scheidung,B1,Noun,Trennung,Ehe,Ende,Gericht,Paar
Geduld,B1,Noun,Warten,Zeit,Ruhig,Langsam,Nerv
Unterstützen,A2,Verb,Helfen,Geben,Dasein,Team,Support
Unsicher,B2,Adj,Angst,Zweifel,Gefühl,Selbstbewusst,Wackelig
Großzügig,A2,Adj,Geben,Geld,Teilen,Nett,Geschenk
Geschwister,B1,Noun,Bruder,Schwester,Familie,Kinder,Eltern
Vertrauen,A2,Verb,Glauben,Sicher,Geheimnis,Wahrheit,Ehrlich
Mitleid,B1,Adj,Traurig,Helfen,Gefühl,Arm,Andere
Valentinstag,A2,Proper,Liebe,Herz,Februar,Blumen,Date
Enthusiastisch,B2,Adj,Energie,Freude,Motiviert,Spaß,Begeistert
Bekannter,B2,Noun,Freund,Wissen,Mensch,Hallo,Sehen
Respektieren,B1,Verb,Ehre,Schätzen,Achten,Höflich,Wert
Optimistisch,B2,Adj,Positiv,Zukunft,Hoffnung,Gut,Denken
Amor,B1,Proper,Liebe,Pfeil,Bogen,Gott,Herz
Ermutigen,B1,Verb,Helfen,Motivieren,Sagen,Stark,Machen
Nostalgie,B2,Noun,Vergangenheit,Alt,Erinnerung,Traurig,Früher
Introvertiert,B2,Adj,Schüchtern,Still,Allein,Leise,Mensch
Höflich,B2,Adj,Nett,Danke,Bitte,Manieren,Respekt
Feind,A2,Noun,Hass,Krieg,Gegner,Böse,Streit
Versöhnen,B2,Verb,Frieden,Streit,Wieder,Freunde,Ende
Aggressiv,B1,Adj,Wütend,Böse,Kampf,Gewalt,Schlagen
Loyalität,B2,Noun,Treu,Freundschaft,Stehen,Immer,Vertrauen
Romeo,A2,Proper,Julia,Liebe,Shakespeare,Drama,Balkon
Erbarmen,B2,Noun,Hilfe,Gefühl,Gnade,Gott,Mitleid
Hingabe,B2,Adj,Liebe,Zeit,Leidenschaft,Arbeit,Herz
Liebeskummer,B1,Noun,Traurig,Herz,Ende,Trennung,Weinen
Lästern,B1,Verb,Reden,Schlecht,Geheimnis,Hinterrücks,Andere
Frustriert,B2,Adj,Ärgerlich,Schwer,Gefühl,Aufgeben,Nervig
Güte,A2,Noun,Nett,Herz,Helfen,Gut,Mensch
Anbeten,B1,Verb,Lieben,Gott,Kirche,Fan,Sehr
Elend,B1,Adj,Schlecht,Traurig,Arm,Sehr,Unglücklich
Aufrichtig,B2,Adj,Ehrlich,Wahr,Herz,Echt,Sagen
Trösten,A2,Verb,Weinen,Traurig,Helfen,Arm,Besser
Computer,A1,Noun,Bildschirm,Tastatur,PC,Laptop,Maus
Internet,A1,Noun,Web,Online,WLAN,Surfen,Netz
Schwerkraft,A2,Noun,Erde,Fallen,Newton,Apfel,Weltraum
NASA,A2,Proper,Weltraum,Rakete,Mond,USA,Sterne
Herunterladen,A2,Verb,Internet,Computer,Speichern,Datei,Download
Smartphone,A1,Noun,Handy,Telefon,App,iPhone,Anrufen
Entdecken,A2,Verb,Finden,Neu,Wissenschaft,Forschen,Erster
Effizient,B1,Adj,Schnell,Arbeit,Zeit,Ergebnis,Sparen
Silicon Valley,B1,Proper,Technik,USA,Google,Apple,Start-up
Software,B1,Noun,Programm,Computer,Windows,App,Code
Beobachten,B1,Verb,Sehen,Schauen,Wissenschaft,Auge,Prüfen
Künstlich,B2,Adj,KI,Falsch,Mensch,Roboter,Natur
WWW,A1,Proper,Internet,Web,Netz,Google,Welt
